Designator,Mid X,Mid Y,Layer,Rotation
BT1,91.9874mm,25.4946mm,Bottom,90.0
C1,4.1124mm,18.9546mm,Bottom,270.0
C2,6.1124mm,18.9546mm,Bottom,270.0
C3,8.1124mm,18.9546mm,Bottom,270.0
C4,10.1124mm,18.9546mm,Bottom,270.0
C5,12.1124mm,18.9546mm,Bottom,270.0
C6,4.1124mm,14.9546mm,Bottom,90.0
C7,6.1124mm,14.9546mm,Bottom,90.0
C8,8.1124mm,14.9546mm,Bottom,90.0
C9,10.1124mm,14.9546mm,Bottom,90.0
C10,12.1124mm,14.9546mm,Bottom,90.0
C14,10.5874mm,9.4946mm,Bottom,270.0
C15,12.5874mm,9.4946mm,Bottom,270.0
C16,14.5874mm,9.4946mm,Bottom,270.0
C17,16.5874mm,9.4946mm,Bottom,270.0
C18,18.5874mm,9.4946mm,Bottom,270.0
C19,10.5874mm,5.4946mm,Bottom,90.0
C20,12.5874mm,5.4946mm,Bottom,90.0
C21,14.5874mm,5.4946mm,Bottom,90.0
C22,16.5874mm,5.4946mm,Bottom,90.0
C23,18.5874mm,5.4946mm,Bottom,90.0
C27,61.7874mm,65.0946mm,Bottom,270.0
C28,53.7874mm,82.5946mm,Bottom,0.0
C29,55.4874mm,77.076623mm,Bottom,0.0
C30,57.177401mm,82.5946mm,Bottom,180.0
C31,59.5874mm,73.4946mm,Bottom,90.0
C32,61.3874mm,73.4946mm,Bottom,90.0
C33,96.9874mm,33.9946mm,Bottom,270.0
D1,87.9874mm,15.9946mm,Bottom,0.0
D2,18.9874mm,70.4946mm,Bottom,90.0
D4,18.9874mm,77.9946mm,Bottom,90.0
D8,55.4874mm,79.576623mm,Bottom,90.0
F5,30.0374mm,55.3946mm,Bottom,270.0
F6,30.0374mm,62.3946mm,Bottom,270.0
F7,30.1374mm,48.3946mm,Bottom,270.0
F8,30.0874mm,41.4446mm,Bottom,270.0
F9,30.0874mm,34.4446mm,Bottom,270.0
F10,83.1374mm,32.4446mm,Bottom,270.0
J2,109.2374mm,72.3746mm,Bottom,180.0
J3,88.9824mm,79.0896mm,Bottom,180.0
J4,10.3174mm,30.4546mm,Bottom,0.0
J5,10.3074mm,49.5146mm,Bottom,0.0
J10,109.2374mm,38.0746mm,Bottom,180.0
L1,56.4874mm,84.9946mm,Bottom,270.0
L2,54.4874mm,84.9946mm,Bottom,270.0
R2,15.9874mm,20.9946mm,Bottom,90.0
R3,15.9874mm,17.9946mm,Bottom,90.0
R5,56.8874mm,61.7946mm,Bottom,270.0
R6,77.5874mm,70.7946mm,Bottom,270.0
R7,48.9874mm,4.372918mm,Bottom,90.0
R8,51.4874mm,4.372918mm,Bottom,90.0
R12,30.2874mm,76.6946mm,Bottom,90.0
R13,30.2874mm,73.2946mm,Bottom,90.0
R15,2.4874mm,89.8446mm,Bottom,90.0
R16,5.0374mm,89.8446mm,Bottom,90.0
R17,28.4999mm,62.3946mm,Bottom,90.0
R18,28.4999mm,55.3946mm,Bottom,90.0
R19,28.4999mm,48.3946mm,Bottom,90.0
R20,23.8874mm,62.3946mm,Bottom,180.0
R21,23.8874mm,55.3946mm,Bottom,180.0
R22,23.8874mm,48.3946mm,Bottom,180.0
R23,28.4999mm,41.3946mm,Bottom,90.0
R24,28.4999mm,34.3946mm,Bottom,90.0
R25,28.4999mm,27.3946mm,Bottom,90.0
R26,23.8874mm,41.3946mm,Bottom,180.0
R27,23.8874mm,34.3946mm,Bottom,180.0
R28,23.8874mm,27.3946mm,Bottom,180.0
R29,4.2374mm,41.7946mm,Bottom,90.0
R30,36.1874mm,26.1446mm,Bottom,90.0
R31,2.5374mm,41.7946mm,Bottom,90.0
R32,33.8374mm,28.3946mm,Bottom,270.0
R33,31.9874mm,27.9946mm,Bottom,270.0
R34,5.8874mm,41.7946mm,Bottom,90.0
U4,55.4874mm,71.7946mm,Bottom,180.0
U6,4.4224mm,84.2696mm,Bottom,180.0
U8,25.3124mm,75.5896mm,Bottom,90.0
U9,3.1374mm,68.1946mm,Bottom,180.0
U10,3.1374mm,59.4446mm,Bottom,180.0
U11,3.1374mm,50.8946mm,Bottom,180.0
C11,1.5874mm,17.2946mm,Top,270.0
C12,1.5874mm,14.1946mm,Top,90.0
C13,16.7124mm,14.9546mm,Top,270.0
C24,7.5874mm,8.9946mm,Top,270.0
C25,7.5874mm,5.4946mm,Top,90.0
C26,23.5874mm,5.4946mm,Top,270.0
D3,18.9874mm,76.4946mm,Top,90.0
D5,18.9874mm,68.9946mm,Top,90.0
F1,22.7874mm,16.9946mm,Top,270.0
F2,20.9874mm,22.5946mm,Top,0.0
F3,20.5874mm,16.9946mm,Top,270.0
F4,18.3874mm,16.9946mm,Top,270.0
G1,88.9874mm,3.4946mm,Top,0.0
G2,71.9874mm,5.4946mm,Top,0.0
G3,39.4874mm,49.9546mm,Top,90.0
G4,47.1074mm,49.9546mm,Top,90.0
J6,98.1374mm,37.8946mm,Top,270.0
J7,82.9874mm,2.9946mm,Top,90.0
J8,58.3624mm,4.6946mm,Top,90.0
J9,49.9874mm,3.9946mm,Top,0.0
P1,31.9874mm,57.4946mm,Top,0.0
P2,34.8874mm,57.4946mm,Top,0.0
P3,62.4874mm,2.4946mm,Top,0.0
P4,62.4874mm,7.4946mm,Top,0.0
P7,83.1874mm,23.9946mm,Top,0.0
P8,83.1874mm,19.2946mm,Top,0.0
P15,5.5274mm,11.4946mm,Top,0.0
P16,8.0674mm,11.4946mm,Top,0.0
P17,2.9874mm,11.4946mm,Top,0.0
P18,22.9874mm,10.9946mm,Top,0.0
Q7,22.6474mm,62.4946mm,Top,0.0
Q8,22.6474mm,55.4946mm,Top,0.0
Q9,22.6474mm,48.4946mm,Top,0.0
Q10,22.6474mm,41.4946mm,Top,0.0
Q11,22.6474mm,34.4946mm,Top,0.0
Q12,22.6474mm,27.4946mm,Top,0.0
R1,34.919897mm,79.9196mm,Top,180.0
R4,43.462009mm,4.564209mm,Top,270.0
R9,16.7124mm,17.9546mm,Top,270.0
R10,28.5874mm,72.4446mm,Top,180.0
R11,30.1874mm,78.3446mm,Top,270.0
R14,23.5874mm,8.3946mm,Top,270.0
R35,94.731779mm,80.311mm,Top,0.0
R36,94.731779mm,77.811mm,Top,0.0
R37,94.731779mm,75.311mm,Top,0.0
R38,98.181779mm,80.311mm,Top,0.0
R39,98.181779mm,77.811mm,Top,0.0
R40,98.181779mm,75.311mm,Top,0.0
U1,8.9874mm,17.4946mm,Top,0.0
U2,15.6124mm,8.0346mm,Top,0.0
U3,76.00065mm,63.9946mm,Top,270.0
U5,92.6374mm,21.1196mm,Top,180.0
U7,25.3124mm,76.8596mm,Top,90.0
R428,40.296799mm,6.474099000000001mm,Bottom,90.0
R427,27.162399mm,5.119599mm,Bottom,0.0
R426,38.688199mm,5.479499000000001mm,Top,270.0
R425,37.380099mm,12.594599mm,Top,90.0
R424,37.380099mm,14.891699000000001mm,Top,270.0
LED4,25.620499mm,4.2306989999999995mm,Top,270.0
LED3,38.688199mm,7.628799000000001mm,Top,90.0
LED2,38.461499mm,12.619599000000001mm,Top,90.0
LED1,38.461499mm,14.866699mm,Top,270.0
R422,31.470799mm,4.119599mm,Bottom,180.0
C426,37.702399mm,9.519599000000001mm,Top,0.0
C425,35.012399mm,9.519599000000001mm,Top,180.0
F410,32.169399mm,17.786399mm,Top,0.0
C415,37.335799mm,3.819599mm,Bottom,0.0
C414,36.360799mm,13.329599mm,Bottom,180.0
U411,34.934599mm,8.469599mm,Bottom,90.0
D410,27.812399mm,17.486399mm,Bottom,180.0
R411,27.910799mm,20.386398999999997mm,Bottom,270.0
D417,30.560799mm,20.619598999999997mm,Bottom,180.0
C410,35.805399mm,18.679599mm,Bottom,180.0
D412,31.462398999999998mm,21.236399mm,Top,180.0
R410,28.685799mm,21.269599mm,Top,0.0
D413,31.462398999999998mm,19.611399mm,Top,180.0
C411,30.535799mm,18.819599mm,Bottom,0.0
R413,30.535799mm,17.286399mm,Bottom,0.0
D414,28.012399mm,18.819599mm,Bottom,0.0
