Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,91.9874mm,25.494600mm,Bottom,90.0,91.9874mm,25.494600mm
C1,4.1124mm,18.954600mm,Bottom,-90.0,4.1124mm,18.954600mm
C2,6.1124mm,18.954600mm,Bottom,-90.0,6.1124mm,18.954600mm
C3,8.1124mm,18.954600mm,Bottom,-90.0,8.1124mm,18.954600mm
C4,10.1124mm,18.954600mm,Bottom,-90.0,10.1124mm,18.954600mm
C5,12.1124mm,18.954600mm,Bottom,-90.0,12.1124mm,18.954600mm
C6,4.1124mm,14.954600mm,Bottom,90.0,4.1124mm,14.954600mm
C7,6.1124mm,14.954600mm,Bottom,90.0,6.1124mm,14.954600mm
C8,8.1124mm,14.954600mm,Bottom,90.0,8.1124mm,14.954600mm
C9,10.1124mm,14.954600mm,Bottom,90.0,10.1124mm,14.954600mm
C10,12.1124mm,14.954600mm,Bottom,90.0,12.1124mm,14.954600mm
C14,10.5874mm,9.494600mm,Bottom,-90.0,10.5874mm,9.494600mm
C15,12.5874mm,9.494600mm,Bottom,-90.0,12.5874mm,9.494600mm
C16,14.5874mm,9.494600mm,Bottom,-90.0,14.5874mm,9.494600mm
C17,16.5874mm,9.494600mm,Bottom,-90.0,16.5874mm,9.494600mm
C18,18.5874mm,9.494600mm,Bottom,-90.0,18.5874mm,9.494600mm
C19,10.5874mm,5.494600mm,Bottom,90.0,10.5874mm,5.494600mm
C20,12.5874mm,5.494600mm,Bottom,90.0,12.5874mm,5.494600mm
C21,14.5874mm,5.494600mm,Bottom,90.0,14.5874mm,5.494600mm
C22,16.5874mm,5.494600mm,Bottom,90.0,16.5874mm,5.494600mm
C23,18.5874mm,5.494600mm,Bottom,90.0,18.5874mm,5.494600mm
C27,61.7874mm,65.094600mm,Bottom,-90.0,61.7874mm,65.094600mm
C28,53.7874mm,82.594600mm,Bottom,0.0,53.7874mm,82.594600mm
C29,55.4874mm,77.076623mm,Bottom,0.0,55.4874mm,77.076623mm
C30,57.177401mm,82.594600mm,Bottom,180.0,57.177401mm,82.594600mm
C31,59.5874mm,73.494600mm,Bottom,90.0,59.5874mm,73.494600mm
C32,61.3874mm,73.494600mm,Bottom,90.0,61.3874mm,73.494600mm
C33,96.9874mm,33.994600mm,Bottom,-90.0,96.9874mm,33.994600mm
D1,87.9874mm,15.994600mm,Bottom,0.0,87.9874mm,15.994600mm
D2,18.9874mm,70.494600mm,Bottom,90.0,18.9874mm,70.494600mm
D4,18.9874mm,77.994600mm,Bottom,90.0,18.9874mm,77.994600mm
D8,55.4874mm,79.576623mm,Bottom,90.0,55.4874mm,79.576623mm
F5,30.0374mm,55.394600mm,Bottom,-90.0,30.0374mm,55.394600mm
F6,30.0374mm,62.394600mm,Bottom,-90.0,30.0374mm,62.394600mm
F7,30.1374mm,48.394600mm,Bottom,-90.0,30.1374mm,48.394600mm
