Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-91.987400,25.494600,90.000000,bottom
"C1","10u","C0805",-4.112400,18.954600,-90.000000,bottom
"C2","10u","C0805",-6.112400,18.954600,-90.000000,bottom
"C3","10u","C0805",-8.112400,18.954600,-90.000000,bottom
"C4","10u","C0805",-10.112400,18.954600,-90.000000,bottom
"C5","10u","C0805",-12.112400,18.954600,-90.000000,bottom
"C6","10u","C0805",-4.112400,14.954600,90.000000,bottom
"C7","10u","C0805",-6.112400,14.954600,90.000000,bottom
"C8","10u","C0805",-8.112400,14.954600,90.000000,bottom
"C9","10u","C0805",-10.112400,14.954600,90.000000,bottom
"C10","10u","C0805",-12.112400,14.954600,90.000000,bottom
"C14","10u","C0805",-10.587400,9.494600,-90.000000,bottom
"C15","10u","C0805",-12.587400,9.494600,-90.000000,bottom
"C16","10u","C0805",-14.587400,9.494600,-90.000000,bottom
"C17","10u","C0805",-16.587400,9.494600,-90.000000,bottom
"C18","10u","C0805",-18.587400,9.494600,-90.000000,bottom
"C19","10u","C0805",-10.587400,5.494600,90.000000,bottom
"C20","10u","C0805",-12.587400,5.494600,90.000000,bottom
"C21","10u","C0805",-14.587400,5.494600,90.000000,bottom
"C22","10u","C0805",-16.587400,5.494600,90.000000,bottom
"C23","10u","C0805",-18.587400,5.494600,90.000000,bottom
"C27","100n","C0603",-61.787400,65.094600,-90.000000,bottom
"C28","10n","C0603",-53.787400,82.594600,0.000000,bottom
"C29","100n","C0603",-55.487400,77.076623,0.000000,bottom
"C30","10n","C0603",-57.177401,82.594600,180.000000,bottom
"C31","100n","C0603",-59.587400,73.494600,90.000000,bottom
"C32","1u","C0603",-61.387400,73.494600,90.000000,bottom
"C33","100n","C0603",-96.987400,33.994600,-90.000000,bottom
"D1","1N4148WS","SOD-323",-87.987400,15.994600,0.000000,bottom
"D2","B5819W","SOD-123",-18.987400,70.494600,90.000000,bottom
"D4","B5819W","SOD-123",-18.987400,77.994600,90.000000,bottom
"D8","NUP2105L","SOT-23",-55.487400,79.576623,-90.000000,bottom
"F5","50mA","Fuse_0603_1608Metric",-30.037400,55.394600,-90.000000,bottom
"F6","50mA","Fuse_0603_1608Metric",-30.037400,62.394600,-90.000000,bottom
"F7","50mA","Fuse_0603_1608Metric",-30.137400,48.394600,-90.000000,bottom
"F8","50mA","Fuse_0603_1608Metric",-30.087400,41.444600,-90.000000,bottom
"F9","50mA","Fuse_0603_1608Metric",-30.087400,34.444600,-90.000000,bottom
"F10","50mA","Fuse_0603_1608Metric",-83.137400,32.444600,-90.000000,bottom
"J2","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",-109.237400,72.374600,180.000000,bottom
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",-88.982400,79.089600,180.000000,bottom
"J4","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",-10.317400,30.454600,0.000000,bottom
"J5","Conn_02x09_Odd_Even","PinHeader_2x09_P2.54mm_Vertical",-10.307400,49.514600,0.000000,bottom
"J10","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",-109.237400,38.074600,180.000000,bottom
"L1","470R@100MHz","L_0603_1608Metric",-56.487400,84.994600,-90.000000,bottom
"L2","470R@100MHz","L_0603_1608Metric",-54.487400,84.994600,-90.000000,bottom
"R2","33k","R0603",-15.987400,20.994600,90.000000,bottom
"R3","6.8k","R0603",-15.987400,17.994600,90.000000,bottom
"R5","0","R0603",-56.887400,61.794600,-90.000000,bottom
"R6","0","R0603",-77.587400,70.794600,-90.000000,bottom
"R7","5.6k","R0603",-48.987400,4.372918,90.000000,bottom
"R8","5.6k","R0603",-51.487400,4.372918,90.000000,bottom
"R12","4.7k","R0603",-30.287400,76.694600,90.000000,bottom
"R13","4.7k","R0603",-30.287400,73.294600,90.000000,bottom
"R15","4.7k","R0603",-2.487400,89.844600,90.000000,bottom
"R16","4.7k","R0603",-5.037400,89.844600,90.000000,bottom
"R17","22","R0603",-28.499900,62.394600,90.000000,bottom
"R18","22","R0603",-28.499900,55.394600,90.000000,bottom
"R19","22","R0603",-28.499900,48.394600,90.000000,bottom
"R20","0","R_2512_6332Metric",-23.887400,62.394600,180.000000,bottom
"R21","0","R_2512_6332Metric",-23.887400,55.394600,180.000000,bottom
"R22","0","R_2512_6332Metric",-23.887400,48.394600,180.000000,bottom
"R23","22","R0603",-28.499900,41.394600,90.000000,bottom
"R24","22","R0603",-28.499900,34.394600,90.000000,bottom
"R25","22","R0603",-28.499900,27.394600,90.000000,bottom
"R26","0","R_2512_6332Metric",-23.887400,41.394600,180.000000,bottom
"R27","0","R_2512_6332Metric",-23.887400,34.394600,180.000000,bottom
"R28","0","R_2512_6332Metric",-23.887400,27.394600,180.000000,bottom
"R29","4.7k","R0603",-4.237400,41.794600,90.000000,bottom
"R30","4.7k","R0603",-36.187400,26.144600,90.000000,bottom
"R31","4.7k","R0603",-2.537400,41.794600,90.000000,bottom
"R32","4.7k","R0603",-33.837400,28.394600,-90.000000,bottom
"R33","4.7k","R0603",-31.987400,27.994600,-90.000000,bottom
"R34","4.7k","R0603",-5.887400,41.794600,90.000000,bottom
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",-55.487400,71.794600,-90.000000,bottom
"U6","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-4.422400,84.269600,-90.000000,bottom
"U8","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-25.312400,75.589600,180.000000,bottom
"U9","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-3.137400,68.194600,-90.000000,bottom
"U10","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-3.137400,59.444600,-90.000000,bottom
"U11","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-3.137400,50.894600,-90.000000,bottom
"C11","100n","C0603",1.587400,17.294600,-90.000000,top
"C12","10n","C0603",1.587400,14.194600,90.000000,top
"C13","10n","C0603",16.712400,14.954600,-90.000000,top
"C24","100n","C0603",7.587400,8.994600,-90.000000,top
"C25","10n","C0603",7.587400,5.494600,90.000000,top
"C26","10n","C0603",23.587400,5.494600,-90.000000,top
"D3","B5819W","SOD-123",18.987400,76.494600,90.000000,top
"D5","B5819W","SOD-123",18.987400,68.994600,90.000000,top
"F1","12H1500D","PAD-1206-PAD",22.787400,16.994600,-90.000000,top
"F2","12H1500D","PAD-1206-PAD",20.987400,22.594600,0.000000,top
"F3","12H1500D","PAD-1206-PAD",20.587400,16.994600,-90.000000,top
"F4","12H1500D","PAD-1206-PAD",18.387400,16.994600,-90.000000,top
"G1","RUSEFI_LOGO","rusefi_logo",88.987400,3.494600,0.000000,top
"G2","LOGO","LOGO",71.987400,5.494600,0.000000,top
"G3","PROTO_AREA","PROTO_AREA",39.487400,49.954600,90.000000,top
"G4","PROTO_AREA","PROTO_AREA",47.107400,49.954600,90.000000,top
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",98.137400,37.894600,-90.000000,top
"J7","Conn_01x05_Male","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",82.987400,2.994600,90.000000,top
"J8","USB_B_Mini","USB-MINI-B-VERTICAL",58.362400,4.694600,90.000000,top
"J9","USB_C","USB_C",49.987400,3.994600,0.000000,top
"M1","Module-power_12and5V-0.2","power_12and5V",24.612399,1.219599,0.000000,top
"M2","Module-knock-0.2","knock",76.962399,82.119600,-90.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",42.262400,77.469600,-90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",31.212400,77.469600,-90.000000,top
"M5","Module-wbo-0.5","wbo",99.412400,39.594600,90.000000,top
"M6","Module:mega-mcu100/0.3","mega-mcu100",79.487410,48.194600,180.000000,top
"M7","Module-can-0.1","can",30.612400,54.669598,-90.000000,top
"P1","Pad","PAD-TH",31.987400,57.494600,0.000000,top
"P2","Pad","PAD-TH",34.887400,57.494600,0.000000,top
"P3","Pad","PAD-TH",62.487400,2.494600,0.000000,top
"P4","Pad","PAD-TH",62.487400,7.494600,0.000000,top
"P7","Pad","PAD-TH",83.187400,23.994600,0.000000,top
"P8","Pad","PAD-TH",83.187400,19.294600,0.000000,top
"P15","Pad","PAD-TH",5.527400,11.494600,0.000000,top
"P16","Pad","PAD-TH",8.067400,11.494600,0.000000,top
"P17","Pad","PAD-TH",2.987400,11.494600,0.000000,top
